id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52160586,X FLATS TAKSIM 2+1 CITY VIEW FLAT,1585558,Xflats,,Beyoglu,41.03741,28.99275,Entire home/apt,3805,1,1,2021-12-12,0.28,28,359,1,
52064801,"Cozy, Green & Blue",53568643,Uğur,,Beykoz,41.11045,29.08803,Private room,413,2,1,2021-09-27,0.16,3,355,1,
52123595,Abdi İpekçi Street Lüx Tüm Kiralık Konut,415803183,Cemil Can,,Sisli,41.04713,28.99221,Entire home/apt,2143,2,0,,,5,332,0,
52160779,XFLATS TAKSIM 1+1 ENSUITE GARDEN VIEW FLAT,1585558,Xflats,,Beyoglu,41.03609,28.99331,Entire home/apt,2927,1,0,,,28,365,0,
52160855,XFLATS TAKSIM 2+1 BOSPHORUS VIEW  ENSUITE FLAT,1585558,Xflats,,Beyoglu,41.0368,28.99113,Entire home/apt,4764,1,0,,,28,319,0,
52161062,XFLATS TAKSIM 2+1 CITY VIEW ENSUITE FLAT,1585558,Xflats,,Beyoglu,41.03603,28.99118,Entire home/apt,3805,1,0,,,28,354,0,
52161141,XFLATS TAKSIM 2+1 CITY VIEW ENSUITE FLAT,1585558,Xflats,,Beyoglu,41.03763,28.99164,Entire home/apt,3034,1,1,2022-02-14,0.67,28,354,1,
52124217,"Maltepe'de E5,metro ve duraklara 3 dakika mesafede yeni ev.",83283519,Mehmet,,Maltepe,40.94438,29.13576,Private room,140,1,1,2021-09-26,0.16,1,365,1,
52065433,Room with balcony on İstiklal avenue!,371128956,Ali,,Beyoglu,41.03683,28.98073,Private room,598,1,4,2022-03-11,0.67,11,365,4,
52065493,Sehir merkezinde huzurlu daire,86087682,Yeliz,,Sisli,41.04905,28.98389,Private room,210,3,0,,,1,363,0,
52161184,XFLATS TAKSIM 2+1 CITY VIEW ENSUITE FLAT,1585558,Xflats,,Beyoglu,41.03744,28.99148,Entire home/apt,3805,1,1,2021-11-07,0.21,28,321,1,
52065970,"1+1 LUXURY FLAT ON THE 40th FLOOR, Istanbul,-ŞİŞLİ",421559957,Kaan,,Sisli,41.05898,28.97705,Entire home/apt,2456,1,2,2022-03-10,0.39,22,365,2,
52161278,XFLATS TAKSIM 2+1 CITY VIEW ENSUITE FLAT,1585558,Xflats,,Beyoglu,41.0359,28.99293,Entire home/apt,3805,1,0,,,28,353,0,
52066106,"Bahçe kullanımına sahip,huzurlu ev ve hijyenik oda",142727328,Sinem,,Bahcelievler,41.00292,28.86149,Private room,278,1,2,2022-01-25,0.45,1,365,2,
52066314,Studio Room 102,421562947,Salih,,Sisli,41.04389,28.98367,Entire home/apt,956,2,0,,,10,263,0,
52066440,Studio Room 103,421562947,Salih,,Sisli,41.04206,28.98541,Entire home/apt,956,2,0,,,10,362,0,
52066492,Luxury One Plus One 2,421562947,Salih,,Sisli,41.04217,28.98519,Entire home/apt,956,5,0,,,10,365,0,
52066540,TRİPLE ROOM / ÜÇ KİŞİLİK ODA,420965627,Sinan,,Fatih,41.00509,28.96451,Private room,4999,1,1,2021-11-15,0.22,4,365,1,
52124383,Super Cosy room in a Cosy Neighborhood of Kadikoy,373779319,A. Ozkan,,Atasehir,40.976,29.11852,Private room,368,1,5,2021-10-11,0.75,3,365,5,
52124758,"Teşvikiye, Room for Two",274735261,Hazal,,Sisli,41.05022,28.99746,Private room,416,2,5,2022-03-10,0.99,1,82,5,
52161336,XFLATS TAKSIM 1+1 CITY VIEW ENSUITE FLAT,1585558,Xflats,,Beyoglu,41.03766,28.99272,Entire home/apt,2862,1,0,,,28,359,0,
52161856,XFLATS TAKSIM 1+1 CITY VIEW FLAT,1585558,Xflats,,Beyoglu,41.03559,28.99187,Entire home/apt,3333,1,0,,,28,358,0,
52125592,"Luxury 1BR w/Parking, Gym, Indoor + Rooftop Pool",322326525,Orhan,,Sisli,41.054661803524944,28.981722706372754,Entire home/apt,1050,2,6,2022-03-28,4.74,1,356,6,
52066949,Hotel fresia family room,357485008,Yusuf Apaydın,,Beyoglu,41.0286,28.97495,Private room,686,1,16,2022-03-27,2.81,14,348,16,
52066986,Studio Room 104,421562947,Salih,,Sisli,41.04255,28.98313,Private room,999,3,0,,,10,358,0,
52067153,Cumhuriyet Mah. Merkezi konumda daire,421568275,Mazlum,,Kartal,40.91319,29.21659,Shared room,1000,1,0,,,1,365,0,
52161876,"Pleasant Flat near Vibrant Attractions in Balat, Fatih",397256370,Ugur,,Fatih,41.03142,28.94836,Entire home/apt,590,3,16,2022-03-20,2.54,46,355,16,
52067337,SINGLE ROOM / 1 KIŞİLİK ODA,420965627,Sinan,,Fatih,41.00446,28.96455,Private room,3999,1,0,,,4,365,0,
52067353,FAMILY ROOM / 4 KİŞİLİK AİLE ODASI,420965627,Sinan,,Fatih,41.00313,28.96662,Private room,5828,1,0,,,4,365,0,
52125760,Lovely 1 bedroom .,351640430,Abdullah,,Gaziosmanpasa,41.07938,28.87789,Entire home/apt,732,1,0,,,5,334,0,
52161895,XFLATS TAKSIM 1+1 ENSUITE CITY VIEW FLAT,1585558,Xflats,,Beyoglu,41.03558,28.99125,Entire home/apt,3333,1,0,,,28,365,0,
52161912,XFLATS TAKSIM 2+1 GARDEN VIEW FLAT,1585558,Xflats,,Beyoglu,41.0378,28.99303,Entire home/apt,4195,1,0,,,28,355,0,
